Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,OSTEO,allpain_v_pain,0.5376344086021505,,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.5913978494623656,0.5698924731182796,0.6021505376344086,-0.013440860215053752,-0.008602150537634468,-0.014336917562723928,0.0,0.0,0.0
LDA,OSTEO,allpain_v_pain,0.1720430107526882,,0.6021505376344086,0.3118279569892473,0.6021505376344086,0.5376344086021505,0.6021505376344086,0.4623655913978494,0.3225806451612903,0.6021505376344086,-0.15053763440860218,-0.09677419354838712,-0.13978494623655918,0.0,0.0,0.0
SVM,OSTEO,allpain_v_pain,0.5913978494623656,,0.6021505376344086,0.5913978494623656,0.5913978494623656,0.5913978494623656,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,-0.005376344086021501,-0.004301075268817178,0.0,0.0,0.0,0.0
KNN-1,OSTEO,allpain_v_pain,0.16129032258064516,,0.1720430107526882,0.1935483870967742,0.5913978494623656,0.5053763440860215,0.3978494623655914,0.11827956989247312,0.15053763440860216,0.6021505376344086,-0.3158602150537635,-0.2494623655913979,-0.3799283154121864,-0.010752688172043001,-0.010752688172043001,-0.20430107526881724
KNN-2,OSTEO,allpain_v_pain,0.5053763440860215,,0.5591397849462365,0.5806451612903226,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.4301075268817205,0.5053763440860215,0.6021505376344086,-0.05376344086021512,-0.053763440860215006,-0.08960573476702516,0.0,0.0,0.0
KNN-3,OSTEO,allpain_v_pain,0.24731182795698925,,0.3225806451612903,0.27956989247311825,0.5913978494623656,0.5053763440860215,0.6021505376344086,0.2043010752688172,0.25806451612903225,0.6021505376344086,-0.22580645161290325,-0.1698924731182796,-0.2473118279569893,0.0,0.0,0.0
KNN-4,OSTEO,allpain_v_pain,0.5591397849462365,,0.5376344086021505,0.5483870967741935,0.5913978494623656,0.5698924731182796,0.6021505376344086,0.5268817204301075,0.4838709677419355,0.6021505376344086,-0.04973118279569899,-0.04731182795698918,-0.06451612903225812,0.0,0.0,0.0
KNN-5,OSTEO,allpain_v_pain,0.3010752688172043,,0.41935483870967744,0.3548387096774194,0.5483870967741935,0.5483870967741935,0.6021505376344086,0.3548387096774194,0.2903225806451613,0.6021505376344086,-0.17473118279569894,-0.1333333333333333,-0.18637992831541222,0.0,0.0,0.0
KNN-6,OSTEO,allpain_v_pain,0.5483870967741935,,0.5591397849462365,0.6021505376344086,0.5591397849462365,0.5376344086021505,0.6021505376344086,0.5268817204301075,0.4946236559139785,0.6021505376344086,-0.048387096774193616,-0.058064516129032295,-0.06093189964157708,0.0,0.0,0.0
KNN-7,OSTEO,allpain_v_pain,0.3763440860215054,,0.41935483870967744,0.4946236559139785,0.5053763440860215,0.4946236559139785,0.6021505376344086,0.4408602150537633,0.3655913978494624,0.6021505376344086,-0.13978494623655913,-0.12043010752688171,-0.1326164874551971,0.0,0.0,0.0
KNN-8,OSTEO,allpain_v_pain,0.5698924731182796,,0.5268817204301075,0.6021505376344086,0.5698924731182796,0.5806451612903226,0.6021505376344086,0.5376344086021505,0.5376344086021505,0.6021505376344086,-0.03629032258064524,-0.03655913978494618,-0.043010752688172116,0.0,0.0,0.0
KNN-9,OSTEO,allpain_v_pain,0.4838709677419355,,0.4623655913978494,0.5591397849462365,0.5483870967741935,0.5483870967741935,0.6021505376344086,0.41935483870967744,0.3870967741935484,0.6021505376344086,-0.10080645161290325,-0.1010752688172043,-0.1326164874551971,0.0,0.0,0.0
KNN-10,OSTEO,allpain_v_pain,0.5806451612903226,,0.5913978494623656,0.5806451612903226,0.5913978494623656,0.5591397849462365,0.6021505376344086,0.5591397849462365,0.5483870967741935,0.6021505376344086,-0.025537634408602128,-0.03010752688172047,-0.032258064516129115,0.0,0.0,0.0
KNN-20,OSTEO,allpain_v_pain,0.6021505376344086,,0.6021505376344086,0.6021505376344086,0.5053763440860215,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,0.6021505376344086,-0.012096774193548376,-0.01935483870967747,0.0,0.0,0.0,0.0
Logistic Regression,OSTEO,nopain_v_pain,0.6140350877192983,0.5614035087719298,0.6491228070175439,0.631578947368421,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.631578947368421,0.631578947368421,0.6491228070175439,-0.01949317738791423,-0.007017543859649145,-0.011695906432748537,0.0,0.0,0.0
LDA,OSTEO,nopain_v_pain,0.5263157894736842,0.43859649122807015,0.7368421052631579,0.543859649122807,0.6491228070175439,0.6842105263157895,0.6491228070175439,0.43859649122807015,0.5789473684210527,0.6491228070175439,-0.06627680311890838,-0.0491228070175439,-0.0935672514619883,0.08771929824561397,0.03508771929824561,0.0
SVM,OSTEO,nopain_v_pain,0.6491228070175439,0.6491228070175439,0.7017543859649122,0.4912280701754386,0.6491228070175439,0.6842105263157895,0.6491228070175439,0.6491228070175439,0.6140350877192983,0.6491228070175439,-0.011695906432748648,0.0,-0.011695906432748537,0.05263157894736836,0.03508771929824561,0.0
KNN-1,OSTEO,nopain_v_pain,0.4912280701754386,0.5964912280701754,0.5614035087719298,0.5614035087719298,0.4035087719298245,0.3333333333333333,0.3508771929824561,0.631578947368421,0.543859649122807,0.6491228070175439,-0.15204678362573099,-0.1964912280701755,-0.14035087719298256,-0.01754385964912286,-0.01754385964912286,-0.01754385964912286
KNN-2,OSTEO,nopain_v_pain,0.4736842105263158,0.543859649122807,0.6140350877192983,0.5614035087719298,0.4035087719298245,0.3333333333333333,0.3508771929824561,0.543859649122807,0.5087719298245614,0.6491228070175439,-0.16764132553606242,-0.2210526315789475,-0.18128654970760238,-0.03508771929824561,-0.10526315789473684,-0.10526315789473684
