Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
KNN-3,OSTEO,nopain_v_pain,0.631578947368421,0.5263157894736842,0.6666666666666666,0.6140350877192983,0.4912280701754386,0.43859649122807015,0.3508771929824561,0.5087719298245614,0.5964912280701754,0.6491228070175439,-0.11306042884990253,-0.17192982456140354,-0.16374269005847952,0.01754385964912275,-0.052631578947368474,-0.052631578947368474
KNN-4,OSTEO,nopain_v_pain,0.6666666666666666,0.543859649122807,0.631578947368421,0.6666666666666666,0.4912280701754386,0.43859649122807015,0.3508771929824561,0.3508771929824561,0.5789473684210527,0.6491228070175439,-0.12475633528265095,-0.2070175438596492,-0.22222222222222227,0.01754385964912275,-0.07017543859649122,-0.07017543859649122
KNN-5,OSTEO,nopain_v_pain,0.5614035087719298,0.4912280701754386,0.5789473684210527,0.5614035087719298,0.43859649122807015,0.3333333333333333,0.3508771929824561,0.5087719298245614,0.6666666666666666,0.6491228070175439,-0.1500974658869395,-0.18947368421052635,-0.14035087719298256,0.01754385964912275,0.01754385964912275,0.01754385964912275
KNN-6,OSTEO,nopain_v_pain,0.5789473684210527,0.4736842105263158,0.631578947368421,0.5964912280701754,0.43859649122807015,0.3333333333333333,0.3508771929824561,0.4736842105263158,0.6140350877192983,0.6491228070175439,-0.15009746588693962,-0.2070175438596491,-0.1695906432748538,-0.01754385964912286,-0.03508771929824561,-0.03508771929824561
KNN-7,OSTEO,nopain_v_pain,0.6140350877192983,0.4912280701754386,0.7192982456140351,0.6140350877192983,0.42105263157894735,0.6842105263157895,0.3508771929824561,0.543859649122807,0.631578947368421,0.6491228070175439,-0.08576998050682261,-0.12280701754385959,-0.14035087719298256,0.07017543859649122,0.03508771929824561,-0.01754385964912286
KNN-8,OSTEO,nopain_v_pain,0.6491228070175439,0.43859649122807015,0.7368421052631579,0.6491228070175439,0.4912280701754386,0.6842105263157895,0.3508771929824561,0.5789473684210527,0.6491228070175439,0.6491228070175439,-0.06822612085769975,-0.09824561403508769,-0.1228070175438597,0.08771929824561397,0.03508771929824561,0.0
KNN-9,OSTEO,nopain_v_pain,0.5964912280701754,0.543859649122807,0.6666666666666666,0.5964912280701754,0.543859649122807,0.5964912280701754,0.3508771929824561,0.5263157894736842,0.6140350877192983,0.6491228070175439,-0.08966861598440556,-0.12280701754385959,-0.15204678362573104,0.01754385964912275,-0.03508771929824561,-0.03508771929824561
KNN-10,OSTEO,nopain_v_pain,0.631578947368421,0.5263157894736842,0.6666666666666666,0.631578947368421,0.6140350877192983,0.5789473684210527,0.3508771929824561,0.456140350877193,0.5964912280701754,0.6491228070175439,-0.08771929824561397,-0.12982456140350873,-0.18128654970760238,0.01754385964912275,-0.03508771929824561,-0.052631578947368474
KNN-20,OSTEO,nopain_v_pain,0.6140350877192983,0.6140350877192983,0.7192982456140351,0.631578947368421,0.5263157894736842,0.6491228070175439,0.3508771929824561,0.5789473684210527,0.5614035087719298,0.6491228070175439,-0.06627680311890838,-0.11578947368421044,-0.15204678362573104,0.07017543859649122,0.0,-0.07017543859649122
Logistic Regression,OSTEO,duloxetine_v_nopain,0.5384615384615384,,0.41025641025641024,0.5897435897435898,0.3076923076923077,0.28205128205128205,0.0,0.4358974358974359,0.6153846153846154,0.5128205128205128,-0.11538461538461536,-0.18461538461538457,-0.16239316239316232,0.10256410256410264,0.10256410256410264,0.10256410256410264
LDA,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.6153846153846154,0.5897435897435898,0.5384615384615384,0.20512820512820512,0.0,0.4358974358974359,0.2564102564102564,0.5128205128205128,-0.1185897435897435,-0.22564102564102562,-0.28205128205128205,0.10256410256410264,0.02564102564102566,-0.07692307692307687
